major,url,coursedepartment,coursemodeofstudy,education_background
History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history,Faculty of History,        Full time  ,        3-4 years  
History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history-pt,Faculty of History,        Part time  ,        6-8 years  
History MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-history,Faculty of History,        Full time  ,        21 months  
History MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-history,Faculty of History,        Full time  ,        9 months  
History MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-history-pt,Faculty of History,        Part time  ,        21 months  
History (History of Science and Medicine & Economic and Social History) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history-history-science-and-medicine-economic-and-social-history,Faculty of History,        Full time  ,        3-4 years  
History (History of Science and Medicine & Economic and Social History) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history-history-science-and-medicine-economic-and-social-history-pt,Faculty of History,        Part time  ,        6-8 years  
History of Art DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history-art,"Faculty of History, History of Art Department",        Full time  ,        3-4 years  
History of Art  DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-history-art-pt,"Faculty of History, History of Art Department",        Part time  ,        6-8 years  
History of Art and Visual Culture MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-history-art-and-visual-culture,"Faculty of History, History of Art Department",        Full time  ,        9 months  
History of Design MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-the-history-design,Department for Continuing Education,        Part time  ,        21 months  
"History of Science, Medicine and Technology MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-history-science-medicine-and-technology,Faculty of History,        Full time  ,        21 months  
"History of Science, Medicine and Technology MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-history-science-medicine-and-technology,Faculty of History,        Full time  ,        11 months  
Inflammatory and Musculoskeletal Disease DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-inflammatory-and-musculoskeletal-disease,"Medical Sciences Doctoral Training Centre, Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Full time  ,        3-4 years  
